1 22.6 7.84884
2 22.4 8.03571
3 23.6 7.94118
4 22.7 7.98817
5 22.9 7.98817
6 21.9 7.89474
7 23 7.94118
8 22.5 8.08383
9 23.7 8.08383
10 22.8 8.03571
11 23.2 8.03571
12 22.9 8.08383
13 23.6 8.03571
14 22.7 7.98817
15 23.8 8.13253
16 23.7 7.98817
17 23.9 7.98817
18 25.4 8.13253
19 23.9 7.98817
20 24.6 8.03571
21 24.1 7.98817
22 24.4 8.03571
23 24.3 8.08383
24 24.3 8.08383
25 25.2 8.03571
26 22.9 8.08383
27 24.1 8.08383
28 24.2 8.03571
29 1.8 8.03571
30 2.4 8.03571
31 23.8 8.03571
32 22.6 8.03571
33 21.9 8.08383
34 23.6 8.03571
35 24 8.13253
36 22.3 8.08383
37 23.2 8.03571
38 22.7 7.98817
39 22.6 8.03571
40 22.7 7.89474
41 23.2 7.94118
42 22.3 8.08383
43 23.7 7.98817
44 22.9 7.89474
45 -0.3 7.98817
46 -1.2 7.94118
47 -1.2 8.03571
48 -1.3 7.98817
49 -1.2 7.84884
50 -2.4 7.94118
51 45.9 7.98817
52 46.4 7.75862
53 45.8 7.94118
54 47.3 7.89474
55 46.5 7.80347
56 47.2 7.94118
57 44.8 8.03571
58 46.5 7.98817
59 46.3 7.98817
60 46.3 7.98817
61 44.5 7.98817
62 45.5 7.89474
63 45.7 7.89474
64 45.3 7.98817
65 46 7.94118
66 45.5 7.98817
67 46.9 7.98817
68 46.4 8.03571
69 46.3 8.08383
70 45.3 7.98817
71 23.5 7.98817
72 23.2 8.03571
73 22.3 7.98817
74 23.2 8.03571
75 22.3 7.98817
76 23.1 7.98817
77 22.6 8.03571
78 22.2 7.94118
79 21.7 7.98817
80 22.3 7.98817
81 22.5 7.98817
82 21.7 7.98817
83 22.8 7.94118
84 22.3 7.98817
85 23.1 7.89474
86 22 8.03571
87 20.9 7.98817
88 21.8 7.94118
89 21.2 7.94118
90 21 8.03571
91 21.7 7.89474
92 21 7.94118
93 21.4 7.94118
94 20.8 8.03571
95 21.9 7.89474
96 22.2 8.03571
97 20.3 7.80347
98 21.8 7.94118
99 22.1 7.89474
100 22.1 7.89474
