1     1H ( 12C , 12C )  1H 
******************************

 PROJECTILE      TARGET      PART. C      PART. D
      12           1          12           1        AMU
  11177.9319    938.7833  11178.9319    938.7833    MEV


 BEAM ENERGY   4800.00 MEV        EXCITATION ENERGY     1.00
 GROUND STATE Q-VALUE      0.000 MEV.

1  PARTICLE C                                                         PARTICLE D
******************************************************************    ********************

    LAB     C.M.    KINET       P3        SOLID     1/2E     BRHO3      LAB    KINET  p4          SOLID  BRHO4   TOF
  ANGLE     ANG     ENERG                 ANGLE     DE/DT    KG.M       ANG    ENERGY               ANG  KG*M

   0.42     5.60   4795.259  11410.795   177.848    -0.107     63.44    85.541     3.741    83.897    0.18      2.80 0.3735E+01
   0.43     5.73   4795.078  11410.542   177.873    -0.109     63.44    85.467     3.922    85.902    0.18      2.87 0.3648E+01
   0.44     5.87   4794.893  11410.284   177.899    -0.112     63.44    85.391     4.107    87.907    0.18      2.93 0.3565E+01
   0.45     6.00   4794.704  11410.019   177.925    -0.114     63.44    85.315     4.296    89.912    0.18      3.00 0.3486E+01
   0.46     6.13   4794.511  11409.748   177.952    -0.117     63.43    85.238     4.489    91.918    0.19      3.07 0.3410E+01
   0.47     6.27   4794.313  11409.471   177.980    -0.119     63.43    85.161     4.687    93.925    0.19      3.13 0.3337E+01
   0.48     6.40   4794.111  11409.189   178.008    -0.122     63.43    85.083     4.889    95.932    0.19      3.20 0.3268E+01
   0.49     6.54   4793.905  11408.900   178.037    -0.125     63.43    85.005     5.095    97.939    0.19      3.27 0.3201E+01
   0.50     6.67   4793.695  11408.605   178.066    -0.127     63.43    84.926     5.305    99.948    0.20      3.33 0.3137E+01
   0.51     6.80   4793.480  11408.305   178.096    -0.130     63.43    84.847     5.520   101.956    0.20      3.40 0.3075E+01
   0.52     6.94   4793.261  11407.998   178.127    -0.132     63.42    84.767     5.739   103.966    0.20      3.47 0.3016E+01
   0.53     7.07   4793.037  11407.685   178.158    -0.135     63.42    84.687     5.963   105.976    0.21      3.54 0.2959E+01
   0.54     7.20   4792.810  11407.366   178.190    -0.137     63.42    84.606     6.190   107.987    0.21      3.60 0.2904E+01
   0.55     7.34   4792.578  11407.042   178.222    -0.140     63.42    84.525     6.422   109.998    0.21      3.67 0.2851E+01
   0.56     7.47   4792.341  11406.711   178.255    -0.143     63.42    84.444     6.659   112.010    0.21      3.74 0.2800E+01
   0.57     7.61   4792.101  11406.374   178.289    -0.145     63.42    84.362     6.899   114.023    0.22      3.80 0.2751E+01
   0.58     7.74   4791.856  11406.031   178.323    -0.148     63.41    84.281     7.144   116.036    0.22      3.87 0.2703E+01
   0.59     7.87   4791.607  11405.682   178.358    -0.150     63.41    84.198     7.393   118.050    0.22      3.94 0.2657E+01
   0.60     8.01   4791.353  11405.327   178.394    -0.153     63.41    84.116     7.647   120.065    0.23      4.01 0.2613E+01
   0.61     8.14   4791.096  11404.966   178.430    -0.155     63.41    84.033     7.904   122.080    0.23      4.07 0.2570E+01
   0.62     8.28   4790.833  11404.599   178.467    -0.158     63.41    83.950     8.167   124.096    0.23      4.14 0.2528E+01
   0.63     8.41   4790.567  11404.226   178.505    -0.161     63.40    83.867     8.433   126.113    0.24      4.21 0.2488E+01
   0.64     8.54   4790.296  11403.847   178.543    -0.163     63.40    83.784     8.704   128.131    0.24      4.27 0.2449E+01
   0.65     8.68   4790.021  11403.462   178.581    -0.166     63.40    83.700     8.979   130.149    0.24      4.34 0.2411E+01
   0.66     8.81   4789.742  11403.071   178.621    -0.168     63.40    83.616     9.258   132.168    0.25      4.41 0.2374E+01
   0.67     8.95   4789.458  11402.673   178.661    -0.171     63.40    83.532     9.542   134.188    0.25      4.48 0.2339E+01
   0.68     9.08   4789.170  11402.270   178.702    -0.174     63.39    83.447     9.830   136.209    0.25      4.54 0.2304E+01
   0.69     9.22   4788.878  11401.861   178.743    -0.176     63.39    83.363    10.122   138.231    0.26      4.61 0.2271E+01
   0.70     9.35   4788.581  11401.445   178.785    -0.179     63.39    83.278    10.419   140.253    0.26      4.68 0.2238E+01
   0.71     9.49   4788.280  11401.023   178.827    -0.181     63.39    83.193    10.720   142.276    0.26      4.75 0.2207E+01
   0.72     9.62   4787.975  11400.596   178.871    -0.184     63.38    83.108    11.025   144.301    0.27      4.81 0.2176E+01
   0.73     9.75   4787.665  11400.162   178.914    -0.187     63.38    83.023    11.335   146.326    0.27      4.88 0.2146E+01
   0.74     9.89   4787.351  11399.722   178.959    -0.189     63.38    82.938    11.649   148.351    0.27      4.95 0.2117E+01
   0.75    10.02   4787.032  11399.276   179.004    -0.192     63.38    82.852    11.968   150.378    0.28      5.02 0.2088E+01
   0.76    10.16   4786.709  11398.824   179.050    -0.195     63.37    82.767    12.291   152.406    0.28      5.08 0.2061E+01
   0.77    10.29   4786.382  11398.366   179.097    -0.197     63.37    82.681    12.618   154.434    0.28      5.15 0.2034E+01
   0.78    10.43   4786.051  11397.901   179.144    -0.200     63.37    82.595    12.949   156.464    0.29      5.22 0.2008E+01
   0.79    10.56   4785.715  11397.431   179.191    -0.202     63.37    82.509    13.285   158.494    0.29      5.29 0.1982E+01
   0.80    10.70   4785.375  11396.954   179.240    -0.205     63.36    82.423    13.625   160.525    0.29      5.35 0.1957E+01
   0.81    10.83   4785.030  11396.471   179.289    -0.208     63.36    82.336    13.970   162.558    0.30      5.42 0.1933E+01
   0.82    10.97   4784.681  11395.982   179.339    -0.210     63.36    82.250    14.319   164.591    0.30      5.49 0.1909E+01
   0.83    11.10   4784.327  11395.487   179.389    -0.213     63.36    82.164    14.673   166.625    0.30      5.56 0.1886E+01
   0.84    11.24   4783.970  11394.986   179.440    -0.216     63.35    82.077    15.030   168.661    0.31      5.63 0.1864E+01
   0.85    11.37   4783.607  11394.479   179.492    -0.218     63.35    81.990    15.393   170.697    0.31      5.69 0.1842E+01
   0.86    11.51   4783.241  11393.965   179.545    -0.221     63.35    81.903    15.759   172.734    0.31      5.76 0.1820E+01
   0.87    11.64   4782.870  11393.445   179.598    -0.224     63.34    81.816    16.130   174.772    0.32      5.83 0.1799E+01
   0.88    11.78   4782.495  11392.920   179.652    -0.226     63.34    81.729    16.505   176.812    0.32      5.90 0.1778E+01
   0.89    11.91   4782.115  11392.388   179.706    -0.229     63.34    81.642    16.885   178.852    0.32      5.97 0.1758E+01
   0.90    12.05   4781.731  11391.849   179.762    -0.231     63.33    81.555    17.269   180.894    0.33      6.03 0.1739E+01
   0.91    12.18   4781.342  11391.305   179.817    -0.234     63.33    81.468    17.658   182.936    0.33      6.10 0.1719E+01
   0.92    12.32   4780.949  11390.754   179.874    -0.237     63.33    81.380    18.051   184.980    0.33      6.17 0.1701E+01
   0.93    12.45   4780.552  11390.197   179.931    -0.239     63.33    81.293    18.448   187.025    0.34      6.24 0.1682E+01
   0.94    12.59   4780.150  11389.634   179.989    -0.242     63.32    81.205    18.850   189.071    0.34      6.31 0.1664E+01
   0.95    12.72   4779.744  11389.065   180.048    -0.245     63.32    81.117    19.256   191.118    0.34      6.38 0.1646E+01
   0.96    12.86   4779.333  11388.490   180.107    -0.248     63.32    81.030    19.667   193.166    0.35      6.44 0.1629E+01
   0.97    13.00   4778.918  11387.908   180.167    -0.250     63.31    80.942    20.082   195.216    0.35      6.51 0.1612E+01
   0.98    13.13   4778.498  11387.320   180.228    -0.253     63.31    80.854    20.502   197.267    0.35      6.58 0.1596E+01
