1     1H ( 12C , 12C )  1H 
******************************



 PROJECTILE      TARGET      PART. C      PART. D
      12           1          12           1        AMU
  11177.9319    938.7833  11177.9319    938.7833    MEV

 BEAM ENERGY    4800.00 MEV        EXCITATION ENERGY    0.00 GROUND STATE Q-VALUE      0.000 MEV.

1  PARTICLE C                                                           PARTICLE D
***************************************************************         ********************

    LAB     C.M.   KINET          P3       SOLID    1/2E    BRHO3      LAB      KINET     P4        SOLID   BRHO4  SIGMA    TOF
   ANGLE    ANG      ENERG                 ANGLE   DE/DT    KG*M       ANG      ENERGY              ANG     KG*M   RUTHF  

   0.01     0.13   4799.998  11417.008   176.813    -0.003     63.47    89.910     0.002     1.993    0.00      0.07 0.3290E+11 0.1571E+03
   0.02     0.27   4799.992  11416.999   176.813    -0.005     63.47    89.820     0.008     3.985    0.01      0.13 0.2056E+10 0.7855E+02
   0.03     0.40   4799.981  11416.985   176.815    -0.008     63.47    89.730     0.019     5.978    0.01      0.20 0.4062E+09 0.5237E+02
   0.04     0.53   4799.966  11416.964   176.817    -0.010     63.47    89.640     0.034     7.971    0.01      0.27 0.1285E+09 0.3928E+02
   0.05     0.66   4799.947  11416.937   176.819    -0.013     63.47    89.550     0.053     9.963    0.02      0.33 0.5264E+08 0.3142E+02
   0.06     0.80   4799.924  11416.905   176.823    -0.015     63.47    89.460     0.076    11.956    0.02      0.40 0.2539E+08 0.2618E+02
   0.07     0.93   4799.896  11416.866   176.826    -0.018     63.47    89.370     0.104    13.949    0.02      0.47 0.1370E+08 0.2244E+02
   0.08     1.06   4799.865  11416.822   176.831    -0.020     63.47    89.279     0.135    15.942    0.03      0.53 0.8032E+07 0.1964E+02
   0.09     1.20   4799.829  11416.772   176.836    -0.023     63.47    89.189     0.171    17.935    0.03      0.60 0.5014E+07 0.1746E+02
   0.10     1.33   4799.789  11416.715   176.841    -0.025     63.47    89.099     0.211    19.928    0.03      0.66 0.3290E+07 0.1571E+02
   0.11     1.46   4799.744  11416.653   176.847    -0.028     63.47    89.009     0.256    21.921    0.04      0.73 0.2247E+07 0.1428E+02
