0	61.75	150
1	64.25	145
2	64.25	150
3	61.75	155
4	61.75	160
5	64.25	155
6	64.25	160
7	61.75	145
8	59.25	160
9	56.75	145
10	56.75	150
11	59.25	145
12	59.25	150
13	56.75	155
14	56.75	160
15	59.25	155
16	51.75	150
17	54.25	145
18	54.25	150
19	51.75	155
20	51.75	160
21	54.25	155
22	54.25	160
23	51.75	145
24	49.25	160
25	46.75	145
26	46.75	150
27	49.25	145
28	49.25	150
29	46.75	155
30	46.75	160
31	49.25	155
32	41.75	150
33	44.25	145
34	44.25	150
35	41.75	155
36	41.75	160
37	44.25	155
38	44.25	160
39	41.75	145
40	39.25	160
41	36.75	145
42	36.75	150
43	39.25	145
44	39.25	150
45	36.75	155
46	36.75	160
47	39.25	155
48	31.75	150
49	34.25	145
50	34.25	150
51	31.75	155
52	31.75	160
53	34.25	155
54	34.25	160
55	31.75	145
56	29.25	160
57	26.75	145
58	26.75	150
59	29.25	145
60	29.25	150
61	26.75	155
62	26.75	160
63	29.25	155
64	61.75	330
65	64.25	325
66	64.25	330
67	61.75	335
68	61.75	340
69	64.25	335
70	64.25	340
71	61.75	325
72	59.25	340
73	56.75	325
74	56.75	330
75	59.25	325
76	59.25	330
77	56.75	335
78	56.75	340
79	59.25	335
80	51.75	330
81	54.25	325
82	54.25	330
83	51.75	335
84	51.75	340
85	54.25	335
86	54.25	340
87	51.75	325
88	49.25	340
89	46.75	325
90	46.75	330
91	49.25	325
92	49.25	330
93	46.75	335
94	46.75	340
95	49.25	335
96	41.75	330
97	44.25	325
98	44.25	330
99	41.75	335
100	41.75	340
101	44.25	335
102	44.25	340
103	41.75	325
104	39.25	340
105	36.75	325
106	36.75	330
107	39.25	325
108	39.25	330
109	36.75	335
110	36.75	340
111	39.25	335
112	31.75	330
113	34.25	325
114	34.25	330
115	31.75	335
116	31.75	340
117	34.25	335
118	34.25	340
119	31.75	325
120	29.25	340
121	26.75	325
122	26.75	330
123	29.25	325
124	29.25	330
125	26.75	335
126	26.75	340
127	29.25	335

