Crystal  Offset  Gain
0  -22.6592  0.470873
1  -29.9617  0.474054
2  -24.6034  0.47223
3  -18.6873  0.470281
4  -28.589  0.475782
5  -31.0432  0.474357
6  -34.2289  0.478405
7  -24.4471  0.464584
8  -26.8385  0.477048
9  -17.9903  0.470368
10  -23.2065  0.469723
11  -33.1991  0.477523
12  -31.4512  0.472926
13  -22.3366  0.473454
14  -30.8259  0.474325
15  -30.4006  0.470444
16  -20.4716  0.466477
17  -28.1187  0.460766
18  -19.562  0.448481
19  -26.7455  0.466651
20  -16.7516  0.45907
21  -39.9596  0.489929
22  -16.4184  0.461651
23  -20.0578  0.463693
24  -21.9038  0.465057
25  -19.3546  0.463763
26  -22.9587  0.462827
27  -31.9988  0.474189
28  -20.0456  0.467371
29  -21.6741  0.466244
30  -25.3614  0.467002
31  -20.5683  0.464499
32  -19.6004  0.468087
33  -18.7223  0.468872
34  -23.99  0.47356
35  -20.0621  0.465057
36  -25.1817  0.470632
37  -18.2248  0.464762
38  -17.7231  0.465979
39  -28.7826  0.470305
40  -13.5575  0.464638
41  -23.1881  0.448284
42  -22.8258  0.463833
43  -25.2544  0.468832
44  -30.1701  0.469917
45  -19.3018  0.466093
46  -21.0478  0.467887
47  -29.8999  0.468202
48  -26.8375  0.478882
49  -25.2794  0.480567
50  -21.7175  0.476108
51  -22.0303  0.475012
52  -21.4404  0.476218
53  -18.5342  0.475563
54  -28.8002  0.478771
55  -20.0705  0.476527
56  -17.1363  0.4749
57  -46.8531  0.542912
58  -23.7597  0.471711
59  -27.9877  0.478819
60  -16.9704  0.4857
61  -29.8038  0.488756
62  -21.636  0.476001
63  -20.4009  0.475918
64  -19.6759  0.46237
65  -20.7472  0.460874
66  -21.9767  0.460058
67  -22.5488  0.463186
68  -21.0598  0.461657
69  -21.0971  0.457215
70  -24.0277  0.461621
71  -19.9762  0.457261
72  -21.4164  0.459534
73  -20.0741  0.45768
74  -21.2715  0.461889
75  -21.8176  0.472143
76  -22.3168  0.45728
77  -20.1143  0.457502
78  -22.2664  0.473871
79  -18.9748  0.457395
80  -20.6026  0.474425
81  -19.4821  0.47256
82  -21.7504  0.472686
83  -19.3049  0.47139
84  -23.5303  0.474345
85  -20.0585  0.472388
86  -20.0037  0.472259
87  -22.072  0.474868
88  -12.8622  0.472932
89  -21.3089  0.473736
90  -18.4973  0.474048
91  -22.9321  0.474425
92  -22.7616  0.473886
93  -20.8582  0.473854
94  -22.1916  0.474729
95  -21.8768  0.473348
96  -20.6131  0.477117
97  -32.3539  0.479613
98  -16.9107  0.473569
99  -17.0837  0.474891
100  -22.6982  0.478786
101  -20.4816  0.474507
102  -23.0952  0.478687
103  -20.8686  0.47532
104  -22.4977  0.474098
105  -21.9097  0.471848
106  -21.279  0.476423
107  -20.2656  0.47459
108  -20.2407  0.473721
109  -21.8459  0.468861
110  -17.8583  0.473243
111  -18.934  0.476076
112  -21.1576  0.473
113  -20.9959  0.473892
114  -20.7683  0.4702
115  -20.4451  0.472505
116  -30.8494  0.478306
117  -21.5682  0.473331
118  -22.5792  0.476661
119  -21.8175  0.469749
120  -23.4558  0.474225
121  -27.8218  0.472344
122  -24.4703  0.473624
123  -22.7998  0.47371
124  -21.1729  0.464824
125  -25.5361  0.470093
126  -27.3128  0.473942
127  -21.0974  0.464146
