Crystal  Offset  Gain  ResFWHM(511) ResFWHM(1274)
52  -26.488  0.953001  9.51606  5.92957
53  -21.6835  0.944012  10.0821  5.13715
54  -32.0762  0.950577  11.7324  6.35129
55  -23.1079  0.947956  10.657  5.49264
56  -20.3907  0.944302  9.43636  5.25324
57  -38.7364  1.09753  16.4105  10.9054
58  -27.2643  0.932825  13.5125  7.73666
59  -28.31  0.954259  9.34781  5.65241
60  -19.3354  0.964707  9.88233  5.31846
61  -30.2791  0.962568  11.9458  8.89095
62  -24.5476  0.943418  8.87327  4.91307
63  -23.4752  0.947103  9.29105  5.26357
64  -29.0205  0.943405  9.12635  5.73821
65  -28.7826  0.940219  8.73703  3.0963
66  -29.4552  0.929983  7.28354  4.96804
67  -28.6326  0.944533  9.46112  4.26806
68  -28.3866  0.94125  7.05554  6.30227
69  -29.2059  0.932492  9.24128  6.22652
70  -33.1172  0.940686  7.88173  5.47164
71  -29.0986  0.929238  8.51298  5.17686
72  -28.1596  0.936345  8.38629  5.26196
73  -24.9089  0.929545  8.07455  5.12518
74  -27.7438  0.937798  8.71738  5.30758
75  -27.4632  0.956406  9.80947  4.60236
76  -28.8115  0.929266  7.91639  4.67625
77  -26.4943  0.933424  7.95537  5.2944
78  -26.7877  0.961319  9.58837  4.83985
79  -25.5322  0.933503  8.52346  5.4747
80  -24.9212  0.958637  8.15902  4.55572
81  -23.2217  0.953339  9.08548  4.93179
82  -24.1778  0.952858  7.65314  4.49567
83  -22.9644  0.95134  8.06966  4.51657
84  -28.9002  0.957321  8.91162  5.65027
85  -22.3803  0.952434  8.71283  4.63503
86  -21.9292  0.951537  8.5347  3.97613
87  -24.9522  0.957015  8.00011  4.67291
88  -17.6638  0.954113  8.8779  5.54118
89  -24.8214  0.953666  8.7273  4.81444
90  -21.968  0.956  8.1867  4.81903
91  -25.17  0.955978  8.96049  5.17508
92  -25.9392  0.955693  8.83226  4.4063
93  -24.7684  0.953929  8.57975  4.93085
94  -25.097  0.956213  8.19965  4.94989
95  -25.5266  0.957797  7.62432  4.78816
96  -23.6889  0.9591  8.58587  4.58712
97  -27.3818  0.950314  10.204  26.6057
98  -19.151  0.949414  8.61744  4.72583
99  -21.4814  0.959099  8.81495  4.89901
100  -26.2997  0.962323  8.80581  4.77081
101  -23.536  0.957142  9.53421  5.06376
102  -25.2553  0.963903  8.54251  5.26368
103  -25.1368  0.953968  9.19944  4.94354
104  -27.2199  0.950508  8.89581  4.97732
105  -24.9553  0.941786  9.43634  5.06842
106  -25.0552  0.947876  9.7817  5.08229
107  -25.2438  0.949052  9.2175  4.33102
108  -23.923  0.948877  8.90829  5.0415
109  -25.1855  0.939596  8.09423  4.78077
110  -22.3381  0.947941  8.20125  4.5981
111  -23.6348  0.956601  8.16426  4.60755
112  -24.8175  0.939045  9.46074  4.95129
113  -24.039  0.949128  8.02436  4.68377
114  -24.3279  0.939561  8.92016  4.98554
115  -26.6164  0.944756  9.52984  6.11356
116  -35.2823  0.954542  10.1338  7.62238
117  -25.7421  0.950463  8.96642  4.80679
118  -27.756  0.95312  9.97017  4.85026
119  -27.1894  0.937764  8.57789  5.35649
120  -31.6299  0.95627  9.04723  5.58222
121  -38.197  0.952584  8.17264  6.96526
122  -27.5113  0.940055  9.77275  5.37678
123  -26.0977  0.944044  9.90657  5.14214
124  -32.3857  0.939544  8.68293  6.57296
125  -36.5833  0.948001  9.1868  6.45981
126  -30.2158  0.944243  9.85238  5.62606
127  -24.6948  0.929804  9.1257  5.50165
