Crystal  Offset  Gain  ResFWHM(511) ResFWHM(1274)
0  -27.1518  0.928003  9.55387  5.46077
1  -36.1021  0.938478  11.3399  6.62598
2  -25.4958  0.930111  8.34419  5.01093
3  -19.3135  0.925794  11.4444  5.12285
4  -31.1402  0.934404  10.2818  6.27814
5  -32.7938  0.932684  9.38567  7.48758
6  -31.8249  0.934045  10.7038  6.85898
7  -25.7323  0.91148  11.8872  4.14643
8  -27.6546  0.939283  9.13282  5.13732
9  -11.1463  0.917796  13.9773  3.98237
10  -26.8139  0.925591  9.41607  6.34453
11  -34.6965  0.937492  11.1201  8.07621
12  -31.4531  0.923687  11.6719  6.37347
13  -24.3661  0.935299  8.62872  4.84692
14  -30.3253  0.928438  9.9227  6.34029
15  -30.9128  0.916396  12.7209  7.97908
16  -25.6654  0.945617  9.87529  6.31763
17  -36.6036  0.938616  12.2594  8.29454
18  -23.8595  0.910952  7.58749  4.23141
19  -32.861  0.947962  10.2591  8.74738
20  -23.4619  0.932499  9.31584  5.69133
21  -44.2413  0.989393  10.8584  11.6048
22  -20.7231  0.936134  8.35427  4.10478
23  -24.7697  0.940118  9.0584  5.36123
24  -25.7541  0.940715  11.5698  5.66842
25  -25.3255  0.941938  10.1692  5.76332
26  -29.876  0.937484  10.0777  6.87899
27  -41.4631  0.969131  13.4091  9.20014
28  -23.8878  0.946721  7.84631  3.92694
29  -26.7002  0.944248  8.54892  5.01097
30  -28.8291  0.942646  8.50273  6.20483
31  -26.7662  0.940229  10.5635  5.30946
32  -22.4855  0.946126  9.18956  5.21002
33  -26.1272  0.949988  14.8867  8.24986
34  -25.4985  0.95361  9.88469  6.54426
35  -26.4523  0.940784  11.2279  6.73742
36  -29.7911  0.953507  9.77154  5.74047
37  -23.3378  0.938498  10.8891  5.86191
38  -19.9838  0.940623  8.73382  5.12073
39  -34.3492  0.951933  11.1884  9.44585
40  -16.4841  0.934326  10.9586  6.496
41  -32.6275  0.914205  14.4871  7.62837
42  -26.2431  0.937947  11.6195  6.61778
43  -28.6479  0.947345  9.2871  5.1977
44  -32.2473  0.947682  14.0307  10.0399
45  -23.1457  0.951543  9.41297  6.10838
46  -25.9814  0.945751  10.79  5.75312
47  -34.4884  0.949279  14.8449  9.05516
48  -30.2785  0.952366  9.8951  6.97286
49  -28.1394  0.953792  12.4568  7.08234
50  -22.565  0.94749  8.62355  4.61784
51  -27.557  0.94221  13.4694  7.07351
